Rank,State,Cases,Rate_per_100k
1,Louisiana,36242,792.4
2,Mississippi,20603,700.9
3,Alaska,5117,697.7
4,Alabama,33261,651.1
5,Georgia,71294,646.4
6,South Carolina,32889,612.1
7,North Carolina,65867,607.9
8,Maryland,35836,579.8
9,Arkansas,17781,579.6
10,New York,109284,558.4
11,Illinois,69992,557.7
12,Delaware,5703,552.7
13,Arizona,41058,552.5
14,South Dakota,4887,531.6
15,New Mexico,11071,523.6
16,Tennessee,36872,517.4
17,Florida,112804,498.9
18,Missouri,30892,498.6
19,Nevada,15766,493.6
20,Texas,150056,491.9
21,California,191357,491.1
22,Indiana,33693,491.0
23,Rhode Island,5269,480.8
24,Virginia,41206,472.8
25,Oklahoma,19104,471.3
26,Nebraska,9274,468.8
27,Ohio,54411,461.7
28,Kansas,13345,453.8
29,North Dakota,3421,436.4
30,Hawaii,6251,435.6
31,Colorado,25571,435.1
32,Michigan,43115,429.5
33,Iowa,13687,426.8
34,Wisconsin,24993,422.8
35,Pennsylvania,54600,421.2
36,Massachusetts,28895,412.7
37,New Jersey,35689,384.1
38,Kentucky,17284,381.9
39,Minnesota,21777,379.5
40,Connecticut,13197,364.8
41,Oregon,15344,362.5
42,Washington,27687,354.4
43,Montana,3655,322.6
44,Utah,11004,322.0
45,Wyoming,1829,313.2
46,Idaho,5793,294.9
47,West Virginia,4407,249.0
48,Maine,3034,217.4
49,Vermont,1307,201.9
50,New Hampshire,2756,196.6
